"Campus UnB — Darcy Ribeiro (Plano Piloto) / df","Diurno","Ciências Sociais – Antropologia / Sociologia (Bacharelado/Licenciatura)","-127.590","-45.650","-14.700","-14.700","-","-","-176.725","36.150","-","-","-65.325","76.375","-","-","-140.655","71.585","-","-","-30.480","168.235"
"Campus UnB — Darcy Ribeiro(Plano Piloto) / df","Noturno","Computação (Licenciatura)","-80.445","-80.445","-48.015","-48.015","-","-","-84.035","-79.055","-","-","-","-","-","-","-215.195","-36.730","-","-","-32.590","230.845"
"Campus UnB — Darcy Ribeiro (Plano Piloto) / df","Noturno","Comunicação Organizacional (Bacharelado)","83.760","83.760","-","-","-","-","-158.305","64.930","-","-","-","-","-","-","-115.790","-104.185","-","-","-24.550","173.975"
"Campus UnB — Darcy Ribeiro (Plano Piloto) / df","Diurno","Comunicação Social – Audiovisual (Bacharelado)","82.090","82.090","-166.575","-166.575","-","-","-53.540","-32.280","-","-","38.405","38.405","-","-","63.860","66.800","-","-","134.080","178.920"
"Campus UnB — Darcy Ribeiro (Plano Piloto) / df","Diurno","Comunicação Social - Publicidade e Propaganda (Bacharelado)","71.230","71.230","-92.945","-92.945","-","-","-72.440","42.145","-","-","-","-","-","-","-48.980","-11.270","-","-","131.070","267.055"
"Campus UnB — Darcy Ribeiro (Plano Piloto) / df","Diurno","Design – Programação Visual/Projeto do Produto (Bacharelado)","61.560","61.560","49.180","49.180","-","-","37.590","37.590","-261.740","-261.740","-28.585","-15.715","-","-","-","-","-","-","168.550","207.440"
"Campus UnB — Darcy Ribeiro (Plano Piloto) /df","Diurno","Direito (Bacharelado)","102.770","144.230","10.255","56.415","-","-","89.240","118.335","-25.765","-25.765","83.965","166.905","-","-","126.865","174.210","-","-","227.360","299.430"
"Campus UnB — Darcy Ribeiro (Plano Piloto) /df","Noturno","Direito (Bacharelado)","119.085","134.815","-14.085","87.615","-","-","104.060","131.030","-51.010","-51.010","-143.060","17.070","-","-","155.875","226.400","-","-","197.525","285.910"
"Campus UnB — Darcy Ribeiro (Plano Piloto) /df","Diurno","Educação Física (Bacharelado)","34.525","34.525","18.915","18.915","-","-","-223.330","-92.625","-","-","-60.080","113.065","-","-","-70.055","73.280","-","-","26.535","89.515"
"Campus UnB — Darcy Ribeiro (Plano Piloto) /df","Diurno","Educação Física (Licenciatura)","36.265","36.265","-17.320","-17.320","-","-","-179.930","-50.530","-","-","-194.370","-194.370","-","-","-165.700","-76.060","-","-","-58.985","71.270"
"Campus UnB — Darcy Ribeiro (Plano Piloto) /df","Diurno","Enfermagem (Bacharelado)","-36.270","-36.270","-144.260","-1.340","-","-","-6.720","92.940","-","-","-172.575","-78.710","-","-","-40.555","-4.625","-","-","43.230","144.800"
"Campus UnB — Darcy Ribeiro (Plano Piloto) /df","Diurno","Engenharia Ambiental (Bacharelado)","158.640","158.640","-","-","-","-","-154.385","-154.385","-","-","220.900","220.900","-","-","-78.775","-78.775","-","-","-65.255","212.905"
"Campus UnB — Darcy Ribeiro (Plano Piloto) /df","Diurno","Engenharia Civil (Bacharelado)","-","-","-157.080","-101.965","-","-","53.375","53.375","-","-","-","-","-","-","-133.165","-23.085","-","-","111.070","292.445"
"Campus UnB — Darcy Ribeiro (Plano Piloto) /df","Diurno","Engenharia de Computação (Bacharelado)","303.315","303.315","-56.625","129.030","-","-","195.620","195.620","-179.745","-179.745","-85.180","-85.180","-","-","172.815","224.840","-","-","284.025","411.660"
"Campus UnB — Darcy Ribeiro (Plano Piloto) /df","Noturno","Engenharia de Produção (Bacharelado)","-","-","-","-","-","-","-150.495","-46.990","-","-","-","-","-","-","-","-","-","-","-58.595","257.565"
"Campus UnB — Darcy Ribeiro (Plano Piloto) /df","Diurno","Engenharia de Redes de Comunicação (Bacharelado)","65.375","65.375","-57.435","-57.435","-","-","-129.795","-32.475","-","-","-68.340","-68.340","-","-","-33.365","140.315","-","-","62.260","146.995"
"Campus UnB — Darcy Ribeiro (Plano Piloto) /df","Diurno","Engenharia Elétrica (Bacharelado)","-10.145","-10.145","-","-","-","-","-178.140","-38.510","-","-","-","-","-","-","-38.760","-8.975","-","-","202.745","312.160"
"Campus UnB — Darcy Ribeiro (Plano Piloto) /df","Diurno","Engenharia Florestal (Bacharelado)","-89.340","-89.340","-","-","-","-","-","-","-","-","-","-","-","-","-144.685","-47.555","-","-","-132.810","142.005"
"Campus UnB — Darcy Ribeiro (Plano Piloto) /df","Diurno","Engenharia Mecânica (Bacharelado)","16.935","16.935","-46.205","-46.205","-","-","16.415","130.320","-","-","-136.315","62.155","-","-","-64.395","140.830","-","-","182.435","342.290"
"Campus UnB — Darcy Ribeiro (Plano Piloto) / df","Diurno","Engenharia Mecatrônica – Controle e Automação (Bacharelado)","250.540","250.540","-","-","-","-","-139.115","-139.115","-","-","-116.140","-116.140","-","-","-89.370","100.220","-","-","197.120","322.005"
"Campus UnB — Darcy Ribeiro (Plano Piloto) / df","Diurno","Engenharia Química (Bacharelado)","-48.230","-48.230","-96.540","-96.540","-","-","-","-","-","-","-","-","-","-","-37.490","234.580","-","-","124.705","292.515"
"Campus UnB — Darcy Ribeiro (Plano Piloto) / df","Diurno","Estatística (Bacharelado)","117.195","117.195","-171.115","-28.310","-","-","-183.835","3.575","-","-","-","-","-","-","11.765","87.725","-","-","109.220","297.005"
"Campus UnB — Darcy Ribeiro (Plano Piloto) / df","Diurno","Farmácia (Bacharelado)","11.945","11.945","101.755","101.755","-","-","-123.185","45.455","-","-","-","-","-","-","-83.060","150.725","-","-","136.700","311.900"
